class,fire_angle,init_veloc,alcance,alt_max,veloc,rcsmed,rcsMSD,beta
ML,41.264467662556626,78.49583778904336,541.2511689286051,172.51992662260545,58.14051786852932,-30.573240203008403,16.112604949340923,816.9830627940014
ML,42.48974346807668,78.16770205099378,565.8954189169705,196.97426027195252,54.23817457736028,-30.122610740944225,16.090862091033262,921.2991427113797
ML,48.19223710080589,86.89076725656986,516.6723151722206,233.4284613042975,57.105963837723515,-30.560269533546442,17.644464123910517,428.03485188170043
ML,49.1954686155618,80.59096303754546,505.39570038988916,199.93635882922786,46.1438016819746,-32.91398672948938,16.764851024165377,726.0471427627954
ML,53.204290809580534,81.44445288917868,539.4133621801183,203.58949802420508,48.26660136635532,-29.323867377892086,4.2837753055258325,1499.038151295251
ML,55.52501080604098,78.95540621758506,517.3332928965959,212.30011125073926,46.21388329371752,-30.097353522176345,17.977329789065298,1286.5486731446592
ML,56.84504040487131,82.33419493093966,503.4344420627833,238.02048391602193,43.20537410484364,-28.984623032991557,6.139060762630063,913.7208202458021
ML,58.25841734946304,80.29106709634546,488.9418201317983,240.51377504338527,40.84305764745242,-28.374279427622156,12.794106116897954,974.7158140589132
ML,60.130671268256066,82.43342155479817,482.261956730837,245.15212954032353,40.44321448101417,-35.84995016213622,22.042859230488144,1144.2160942709634
ML,63.10792880237042,81.77470483611881,459.2753406220204,251.01904046864567,37.570829170327926,-30.96324631372159,18.250249492473497,1513.2963733191405
ML,68.9747708006761,80.67033899495013,349.1711392615477,275.7655729743777,29.607052258382446,-18.275495556413507,0.2077105960147705,1474.7499451069243
ML,66.4136803438108,82.36811734345925,405.7317872851178,276.2673750734772,32.38511528693705,-29.36017529339139,6.821414988396732,1109.790725485133
ML,68.61553233660496,80.69697081161151,368.27906578469833,276.2777200566179,30.614650766262184,-31.166854990111382,17.965036479507827,1204.1074321272645
ML,70.96547410314345,82.08231991998593,311.6624655755945,288.1936343439102,31.409296118914934,-36.21225343261678,16.486330093316205,1055.915492054262
ML,71.49735853162406,93.76515085401233,286.1031380580879,300.63030469830676,28.987294007876944,-29.462066537224405,14.26795090550415,466.13640687999293
ML,77.6886409649194,82.43659838441947,216.14778008583977,292.5054543886634,21.613002847822592,-17.47534554430107,1.4525001637772732,950.7907269338612
ML,72.67728425786322,147.5992247476518,137.06634516550017,319.33374579564617,14.192759086097999,-17.456186809200503,0.06951555491456318,51.818742281899844
ML,45.02135100533203,107.20382387819672,946.1061719990429,286.16213412725403,63.52440000981199,-18.290506671735407,0.11460983965302773,1689.4249213124717
ML,84.13332441078087,83.59879720601522,108.70028662610525,339.52504172376246,15.63881082014319,-29.50939392537099,21.58492823525728,916.4735262806212
ML,76.99356990375391,129.5893939286218,150.9413389031465,311.7263621181007,23.965056590216598,-20.139859789434436,3.9211110571389867,132.44075697540057
ML,82.19384902572627,75.23280813569082,109.09045599108285,320.64417365538714,16.534088019674503,-31.233905979153445,21.904417756909915,747.7527083204195
ML,47.13940636818513,109.43972978754309,849.18273146576,283.8424066292941,61.51884978443791,-33.9747095690792,14.96292412964641,830.3461638594979
ML,48.88628247131655,109.99495649930765,854.3398909313386,321.4838805147422,57.30418144918306,-39.6310107841782,18.42684250512444,819.4664302863459
ML,51.494949514183624,103.42129459991104,870.5961216739495,338.26359293869626,56.0496143288202,-31.063387446347956,17.39240447712069,1563.7650514888992
ML,53.90517985338373,110.81014713474164,863.3695465603624,366.6425132410492,52.40924423542104,-23.15103757177726,0.7598754970042378,1371.6104137685493
ML,53.82292879953985,110.84121388964788,886.2069250281176,369.3635288508171,52.97326502786629,-28.49511541131158,6.150845693067492,1151.1881700237923
ML,57.88563587414061,108.02068750791945,808.5057679263263,370.01258914207114,47.1778781443816,-32.242158904993765,16.11239840168757,1725.3901323069158
ML,59.95327181392778,113.9861126436805,740.2334140532606,397.8044448205845,41.37717845304007,-16.9240476495053,0.12433357688846414,1089.5143081686433
ML,68.42270965375705,106.17845063812189,599.1326734752294,439.0832497124989,33.36527536460597,-31.979130165181882,22.02528608288123,1305.9527111580833
ML,61.25038630229487,108.48777359372596,704.8730404822197,393.85681247491146,39.974541383790545,-20.590997437607463,2.2103750000671205,1191.7411785101422
ML,60.91263010287497,111.87659276436995,691.1846056565588,393.3652309238562,39.22190042175008,-20.837918432548513,2.5033332862015634,1016.2599320695222
ML,69.88522563288137,222.23231811166343,351.7757758725815,463.2898217194336,23.762768596016677,-17.550555948937323,0.7330220715047489,133.69037155698555
ML,65.89107104545374,109.13108034525406,618.6871174551128,433.39965892783863,33.23886609574466,-20.90892171876712,2.848249953443279,1018.7855028980623
ML,70.55339849723725,106.08400177822033,503.36647793715565,452.0537630811801,27.995652811360827,-31.501015397417852,18.394271966935644,1208.042264789489
ML,74.20788047893691,106.94763937517762,472.31752973490046,494.8065270528788,24.6270304517498,-29.81205537468883,22.296645041067627,1456.5002228348671
ML,75.96025704396446,105.05138795578402,415.155984553849,488.1335081423222,21.67145062422006,-31.486856758493435,20.504819076263683,1547.9066832224155
ML,78.30100785151,107.82161961690778,347.11537513564656,476.7264568187249,17.941408159704828,-20.247921103789388,6.880459014064179,1379.6969934577442
ML,79.68930648783896,108.94396965890317,316.67893204537177,528.552584440257,15.983642402916635,-29.667485961742575,25.97216557753447,1507.616995214692
ML,48.063028812406515,142.1388408004998,1136.3438580900513,457.4269411080297,62.64251233805893,-29.91259978944573,2.7465957403823182,832.2345389328982
ML,45.250715532584785,136.83117349116324,1113.4907774548767,411.02787387519095,63.41594134408727,-23.08091981379045,2.3618141598838527,975.4402713106094
ML,81.67018080439668,111.35678702562713,255.24312337071774,535.9969505392588,12.307890167614671,-17.687702739133517,0.8949606010480586,1341.3789235882746
ML,83.67095787287559,113.89376993626801,186.74483126542899,519.498061669515,11.630151611637151,-27.151296073988522,22.669001852576542,798.418783319387
ML,48.006974355292044,134.83451237314586,1280.0831802472492,423.4899160542106,69.38153056499895,-32.49368985747695,15.914182710736384,1736.2271458828059
ML,51.82034743751963,133.613621969887,1320.3715113504165,477.8425702426099,66.21490464882604,-29.96734360963984,7.266878502178706,2399.6100449248884
